StationNo.	UE	UN	UZ

1.000000	0.025656	0.066206	-0.029974
2.000000	0.012119	-0.004826	0.034468
3.000000	0.024668	-0.028482	0.048584
4.000000	0.053224	-0.046298	0.055727
5.000000	0.135742	-0.078786	0.191411
6.000000	0.088892	-0.021446	0.074113
7.000000	0.151575	0.027309	0.261574
8.000000	0.004211	-0.009859	0.005154
9.000000	0.015071	-0.002876	0.025012
10.000000	0.033644	0.023870	0.072657
11.000000	0.025032	0.029799	0.074300
12.000000	-0.001336	0.111622	0.189886
13.000000	-0.008262	0.019683	0.032213
14.000000	-0.017854	0.056458	0.070533
15.000000	-0.060627	0.140717	0.239007
16.000000	-0.104751	0.155235	0.353850
17.000000	-0.146994	0.109185	0.513396
18.000000	-0.162678	0.065476	0.513340
19.000000	-0.162678	0.065476	0.513340
20.000000	0.024778	0.021711	-0.012838
21.000000	0.036555	0.043939	-0.019930
22.000000	-0.011805	-0.009319	0.056385
23.000000	-0.001638	-0.012023	0.056439
24.000000	0.024158	0.061859	-0.030102
25.000000	0.003318	0.037796	-0.010732
26.000000	-0.000370	0.017975	-0.004288
27.000000	-0.000943	0.011318	-0.004136
28.000000	0.039011	-0.018858	0.015719
29.000000	0.000067	-0.007814	-0.001950
30.000000	-0.013751	-0.014410	-0.002726
